generation biomass (MW),generation fossil brown coal/lignite (MW),generation fossil gas (MW),generation fossil hard coal (MW),generation fossil oil (MW),generation hydro run-of-river and poundage (MW),generation hydro water reservoir (MW),generation nuclear (MW),generation other (MW),generation other renewable (MW),generation solar (MW),generation waste (MW),generation wind onshore (MW),forecast solar day ahead (MW),forecast wind onshore day ahead (MW),total load forecast (MW),total load actual (MW),price day ahead (EUR/MWh),total production (MW),year,month,hour,price for the previous hour (EUR/MWh),day
577.0,636.0,5110.0,6901.0,404.0,883.0,2086.0,5040.0,47.0,69.0,4098.0,261.0,3218.0,4026.0,3162.0,30160.0,30242.0,54.7,29330.0,2015,6,14,78.19,11
549.0,373.0,5532.0,5636.0,349.0,762.0,1771.0,6921.0,79.0,69.0,1347.0,264.0,6266.0,1220.0,6214.0,29983.0,29827.0,52.01,29918.0,2015,9,9,60.86,17
489.0,977.0,5298.0,6363.0,273.0,863.0,834.0,7096.0,43.0,71.0,32.0,239.0,768.0,0.0,938.0,20605.0,21457.0,47.73,23346.0,2015,7,4,55.9,1
262.0,0.0,3411.0,1757.0,280.0,1569.0,2081.0,4722.0,54.0,101.0,3909.0,201.0,7768.0,4777.0,7849.0,28193.0,28432.0,42.49,26115.0,2018,12,12,73.17,5
360.0,623.0,9311.0,5700.0,312.0,402.0,1370.0,5892.0,54.0,107.0,461.0,302.0,6655.0,399.0,6828.0,29982.0,30339.0,65.04,31549.0,2017,10,18,68.09,17
321.0,975.0,6869.0,6542.0,262.0,701.0,6345.0,7101.0,59.0,98.0,118.0,297.0,3091.0,127.0,3108.0,32737.0,34087.0,72.15,32779.0,2017,2,18,78.83,1
388.0,0.0,2178.0,1170.0,188.0,1304.0,3600.0,7103.0,44.0,63.0,2144.0,170.0,14410.0,2562.0,14638.0,29187.0,29436.0,5.0,32762.0,2015,1,15,22.62,31
348.0,0.0,9400.0,6479.0,298.0,1248.0,3740.0,5038.0,64.0,82.0,198.0,298.0,5721.0,182.0,6297.0,34487.0,34451.0,67.33,32914.0,2018,11,8,68.17,29
299.0,827.0,8857.0,4441.0,332.0,429.0,1084.0,5960.0,60.0,91.0,5019.0,264.0,3902.0,5174.0,3987.0,31341.0,31642.0,52.0,31565.0,2017,9,14,62.97,25
390.0,0.0,4983.0,3738.0,240.0,813.0,2686.0,6969.0,57.0,80.0,775.0,316.0,7073.0,654.0,7125.0,27674.0,28189.0,44.69,28120.0,2016,7,23,52.6,24
350.0,628.0,6436.0,4051.0,258.0,366.0,809.0,5969.0,53.0,97.0,1335.0,299.0,3253.0,1396.0,3283.0,23747.0,23901.0,46.13,23904.0,2017,1,18,76.81,10
235.0,592.0,5410.0,2658.0,287.0,1303.0,4479.0,7096.0,63.0,89.0,5183.0,256.0,1922.0,5505.0,1885.0,31995.0,31784.0,51.2,29573.0,2017,3,13,47.38,4
